site	year	env	plot	Ntrt	rep	dm
Lam	2008	L08	313	224	3	6.99
Lam	2008	L08	314	0	3	6.1
Lam	2008	L08	315	0	3	4.04
Lam	2008	L08	316	112	3	5.63
Lam	2008	L08	317	224	3	6.32
Lam	2008	L08	318	112	3	5.12
Lam	2008	L08	319	168	3	5.48
Lam	2008	L08	320	112	3	4.18
Lam	2008	L08	321	224	3	4.26
Lam	2008	L08	322	56	3	4.35
Lam	2008	L08	323	0	3	5.84
Lam	2008	L08	324	168	3	3.76
Lam	2008	L08	325	56	3	5.16
Lam	2008	L08	401	0	4	5.17
Lam	2008	L08	402	224	4	5.43
Lam	2008	L08	403	224	4	6.81
Lam	2008	L08	404	56	4	5.84
Lam	2008	L08	405	112	4	6.03
Lam	2008	L08	406	224	4	4.7
Lam	2008	L08	407	112	4	4.31
Lam	2008	L08	408	56	4	4.96
Lam	2008	L08	409	224	4	4.08
Lam	2008	L08	410	168	4	4.85
Lam	2008	L08	411	112	4	5.28
Lam	2008	L08	412	0	4	3.59
Lam	2008	L08	413	168	4	5.75
Lam	2008	L08	414	56	4	4.33
Lam	2008	L08	415	112	4	5.21
Lam	2008	L08	416	168	4	4.18
Lam	2008	L08	417	56	4	4.41
Lam	2008	L08	418	56	4	3.45
Lam	2008	L08	419	0	4	3.03
Lam	2008	L08	420	168	4	4.17
Lam	2008	L08	421	0	4	3.48
Lam	2008	L08	422	0	4	2.69
Lam	2008	L08	423	224	4	3.92
Lam	2008	L08	424	168	4	3.43
Lam	2008	L08	425	112	4	5.01
Ros	2008	R08	101	56	1	9.24
Ros	2008	R08	102	112	1	10.46
Ros	2008	R08	103	0	1	5.78
Ros	2008	R08	104	224	1	9.57
Ros	2008	R08	105	168	1	10.89
Ros	2008	R08	106	168	1	10.24
Ros	2008	R08	107	224	1	11.18
Ros	2008	R08	201	56	1	9.76
Ros	2008	R08	202	224	1	9.03
Ros	2008	R08	203	56	1	5.49
Ros	2008	R08	204	0	1	7.64
Ros	2008	R08	205	224	1	9.5
Ros	2008	R08	206	168	1	10.56
Ros	2008	R08	207	56	1	8.59
Ros	2008	R08	301	168	1	10.09
Ros	2008	R08	302	224	1	8.41
Ros	2008	R08	303	0	1	8.83
Ros	2008	R08	304	112	1	10.08
Ros	2008	R08	305	168	1	10.31
Ros	2008	R08	306	0	1	7.64
Ros	2008	R08	307	112	1	9.42
Ros	2008	R08	401	0	1	6.44
Ros	2008	R08	402	112	1	6.38
Ros	2008	R08	403	112	1	7.43
Ros	2008	R08	404	56	1	9.24
Ros	2008	R08	501	168	2	9.54
Ros	2008	R08	502	112	2	8.39
Ros	2008	R08	503	0	2	6.14
Ros	2008	R08	504	168	2	9.18
Ros	2008	R08	505	112	2	10.04
Ros	2008	R08	506	56	2	10.92
Ros	2008	R08	507	168	2	10.22
Ros	2008	R08	601	224	2	10.35
Ros	2008	R08	602	224	2	9.43
Ros	2008	R08	603	112	2	7.98
Ros	2008	R08	604	224	2	10.81
Ros	2008	R08	605	0	2	8.19
Ros	2008	R08	606	0	2	9.31
Ros	2008	R08	607	56	2	9.08
Ros	2008	R08	701	112	2	10.69
Ros	2008	R08	702	56	2	8.43
Ros	2008	R08	703	0	2	6.71
Ros	2008	R08	704	224	2	10.77
Ros	2008	R08	705	224	2	10.44
Ros	2008	R08	706	56	2	10.7
